ubigeo,department,province,district,idh,monetary_poverty,life_expectancy,complete_secondary_education,years_education,family_income,number_hh,hh_1_nib_or_more,hh_inadequate_characteristics,overcrowded_housing,hh_wo_bathrooms,hh_children_not_attending_school,hh_high_economic_dependence
190111,PASCO,PASCO,TINYAHUARCO,0.594347756,0.19343028,78.6435953,0.841304348,10.36,847.8359479,1561,176,14,94,54,14,22
190112,PASCO,PASCO,VICCO,0.554860892,0.30145926,76.8495372,0.731225296,8.441,868.2541117,928,247,9,143,93,11,21
190113,PASCO,PASCO,YANACANCHA,0.595791266,0.18662036,78.00898464,0.791492594,11.081,855.3977191,7249,1091,25,483,544,52,95
190201,PASCO,DANIEL ALCIDES CARRION,YANAHUANCA,0.400452243,0.46272193,69.68539169,0.725842697,7.8413,417.4833306,3329,937,30,455,476,33,93
190202,PASCO,DANIEL ALCIDES CARRION,CHACAYAN,0.413238503,0.53680466,85.73567801,0.674418605,6.0738,416.4160213,869,468,29,119,373,20,21
190203,PASCO,DANIEL ALCIDES CARRION,GOYLLARISQUIZGA,0.458375952,0.53533945,76.71301986,0.79,9.1891,464.6042831,383,295,52,58,270,7,12
190204,PASCO,DANIEL ALCIDES CARRION,PAUCAR,0.411299192,0.52630676,79.74202945,0.691823899,5.6271,470.3437718,604,255,17,101,170,8,19
190205,PASCO,DANIEL ALCIDES CARRION,SAN PEDRO DE PILLAO,0.300499994,0.48781405,75.34861275,0.683673469,7.2194,191.0480232,575,228,6,85,176,1,6
190206,PASCO,DANIEL ALCIDES CARRION,SANTA ANA DE TUSI,0.313287671,0.72150849,67.12407393,0.851428571,7.2013,224.7093041,3746,2611,38,2173,652,219,292
190207,PASCO,DANIEL ALCIDES CARRION,TAPUC,0.427416218,0.49503312,83.15305229,0.727272727,6.4412,442.3137113,792,242,6,90,137,11,24
190208,PASCO,DANIEL ALCIDES CARRION,VILCABAMBA,0.431774436,0.44669951,78.03810238,0.858333333,7.5068,417.1825296,700,259,4,119,151,9,15
190301,PASCO,OXAPAMPA,OXAPAMPA,0.471452819,0.2128484,65.04458945,0.589041096,8.7325,756.7145711,4956,1064,410,396,326,51,62
190302,PASCO,OXAPAMPA,CHONTABAMBA,0.461089375,0.2128484,71.20136761,0.561357702,6.9056,733.5051659,1425,334,166,96,110,9,20
190303,PASCO,OXAPAMPA,HUANCABAMBA,0.30260147,0.33412669,69.94385569,0.326797386,4.8495,379.1925877,1938,746,366,211,352,37,69
190304,PASCO,OXAPAMPA,PALCAZU,0.323830314,0.37575331,63.82369147,0.416326531,6.2849,391.7587191,2042,1050,365,335,550,98,72
190305,PASCO,OXAPAMPA,POZUZO,0.33505188,0.36496679,71.09279897,0.325520833,5.1483,470.626073,1281,722,280,138,539,33,85
190306,PASCO,OXAPAMPA,PUERTO BERMUDEZ,0.337579436,0.47839148,66.76761304,0.360832138,6.0636,448.8660541,4483,3099,2144,1192,872,289,168
190307,PASCO,OXAPAMPA,VILLA RICA,0.462367866,0.30010674,69.10441242,0.539527302,7.2533,763.2103175,5015,1817,602,611,860,65,74
190308,PASCO,OXAPAMPA,CONSTITUCION,0.363834359,0.36646578,68.46537382,0.425047438,6.1778,487.7238736,3808,2491,1524,880,1071,166,120
200101,PIURA,PIURA,PIURA,0.613133251,0.09786115,77.64319864,0.765823689,11.1883,945.0742072,36390,6421,4578,1535,603,317,287
200104,PIURA,PIURA,CASTILLA,0.580646417,0.1625051,80.48028308,0.720224161,9.6385,862.6726519,40618,10654,8182,2413,958,456,589
200105,PIURA,PIURA,CATACAOS,0.486882275,0.3186693,77.35547452,0.619189231,7.2933,701.1833623,19420,10739,8391,2517,5268,251,689
200107,PIURA,PIURA,CURA MORI,0.381984052,0.3186693,73.36503885,0.509231686,4.761,558.045642,5922,4959,4393,663,2432,71,293
200108,PIURA,PIURA,EL TALLAN,0.356483691,0.40703036,70.98156449,0.426190476,4.8478,516.7841379,1471,1308,1154,168,668,18,77
200109,PIURA,PIURA,LA ARENA,0.415501076,0.38073701,77.15674777,0.499844576,4.8626,654.5204837,10280,7265,5650,1460,4316,148,680
