type,origin,destination,weight
total,150129,150101,157
total,150129,150103,24
total,150129,150104,20
total,150129,150105,13
total,150129,150107,3
total,150129,150108,92
total,150129,150109,2
total,150129,150110,1
total,150129,150111,2
total,150129,150112,3
total,150129,150113,37
total,150129,150114,65
total,150129,150115,33
total,150129,150116,32
total,150129,150117,13
total,150129,150118,3
total,150129,150119,397
total,150129,150120,14
total,150129,150122,85
total,150129,150123,51
total,150129,150124,34
total,150129,150125,1
total,150129,150126,98
total,150129,150127,183
total,150129,150128,5
total,150129,150129,3202
total,150129,150130,43
total,150129,150131,62
total,150129,150132,9
total,150129,150133,44
total,150129,150134,16
total,150129,150135,12
total,150129,150136,12
total,150129,150137,16
total,150129,150138,90
total,150129,150140,196
total,150129,150141,30
total,150129,150142,86
total,150129,150143,16
total,150130,150101,4445
total,150130,150102,30
total,150130,150103,1687
total,150130,150104,431
total,150130,150105,556
total,150130,150106,35
total,150130,150107,25
total,150130,150108,1302
total,150130,150109,37
total,150130,150110,128
total,150130,150111,214
total,150130,150112,172
total,150130,150113,2454
total,150130,150114,4297
total,150130,150115,2878
total,150130,150116,1228
total,150130,150117,303
total,150130,150118,247
total,150130,150119,396
total,150130,150120,688
total,150130,150122,5509
total,150130,150123,126
total,150130,150124,14
total,150130,150125,93
total,150130,150126,16
total,150130,150127,3
total,150130,150128,259
total,150130,150129,12
total,150130,150130,26238
total,150130,150131,8532
total,150130,150132,459
total,150130,150133,404
total,150130,150134,1140
total,150130,150135,477
total,150130,150136,1336
total,150130,150137,523
total,150130,150138,2
total,150130,150139,3
total,150130,150140,9741
total,150130,150141,2319
total,150130,150142,408
total,150130,150143,166
total,150131,150101,1990
total,150131,150102,7
total,150131,150103,392
total,150131,150104,351
total,150131,150105,274
total,150131,150106,11
total,150131,150107,9
total,150131,150108,803
total,150131,150109,12
total,150131,150110,59
total,150131,150111,50
total,150131,150112,85
total,150131,150113,1774
total,150131,150114,1577
total,150131,150115,795
total,150131,150116,981
total,150131,150117,127
total,150131,150118,66
total,150131,150119,140
total,150131,150120,840
total,150131,150122,5052
total,150131,150123,69
total,150131,150124,4
total,150131,150125,42
total,150131,150126,9
total,150131,150127,1
total,150131,150128,100
total,150131,150129,4
total,150131,150130,1219
total,150131,150131,18044
total,150131,150132,116
total,150131,150133,68
total,150131,150134,120
total,150131,150135,205
total,150131,150136,1309
total,150131,150137,119
total,150131,150138,1
total,150131,150140,2910
total,150131,150141,699
total,150131,150142,142
total,150131,150143,39
total,150132,150101,59627
total,150132,150102,319
total,150132,150103,8604
total,150132,150104,1165
total,150132,150105,5819
total,150132,150106,445
total,150132,150107,196
total,150132,150108,3630
total,150132,150109,135
total,150132,150110,1699
total,150132,150111,4657
total,150132,150112,2473
total,150132,150113,9289
total,150132,150114,7559
total,150132,150115,26948
total,150132,150116,7574
total,150132,150117,4598
total,150132,150118,5148
