origin,destination,cases
010518,010509,2
010518,010512,1
010518,010516,2
010518,010518,337
010518,010520,2
010518,010701,2
010519,010101,6
010519,010109,1
010519,010519,239
010519,010521,2
010520,010101,7
010520,010307,3
010520,010501,6
010520,010509,13
010520,010518,3
010520,010520,1122
010520,010523,1
010520,010701,4
010520,010705,4
010520,150101,2
010521,010101,20
010521,010109,9
010521,010110,2
010521,010113,2
010521,010119,1
010521,010312,2
010521,010501,1
010521,010503,2
010521,010517,1
010521,010518,1
010521,010519,5
010521,010521,1501
010521,010522,3
010521,010609,1
010521,060101,1
010521,150121,1
010522,010101,28
010522,010109,2
010522,010112,9
010522,010503,1
010522,010504,1
010522,010507,2
010522,010509,1
010522,010511,1
010522,010514,2
010522,010519,1
010522,010522,751
010522,010701,1
010522,010705,1
010522,130101,1
010522,230108,1
010523,010101,12
010523,010312,1
010523,010501,8
010523,010505,1
010523,010509,47
010523,010510,5
010523,010513,1
010523,010523,741
010523,010701,1
010523,060101,1
010601,010101,24
010601,010109,1
010601,010110,1
010601,010111,1
010601,010114,3
010601,010307,1
010601,010502,1
010601,010512,1
010601,010601,3814
010601,010602,10
010601,010603,2
010601,010604,17
010601,010605,9
010601,010606,7
010601,010607,26
010601,010608,7
010601,010609,49
010601,010610,7
010601,010611,3
010601,010612,1
010601,010705,2
010601,010706,1
010601,060101,1
010601,070101,1
010601,130101,5
010601,140101,7
010601,150101,5
010601,150113,3
010601,150116,1
010601,150136,1
010601,160201,1
010601,220804,1
010601,220910,1
010602,010101,2
010602,010106,1
010602,010109,3
010602,010205,1
010602,010601,9
010602,010602,1535
010602,010605,6
010602,010608,13
010602,010609,27
010603,010101,4
010603,010104,1
010603,010108,1
010603,010109,1
010603,010601,10
010603,010603,368
010603,010604,9
010603,010605,1
010603,010606,4
010603,010607,1
010603,010608,1
010603,010609,16
010603,200101,1
010604,010101,14
010604,010501,1
010604,010601,78
010604,010603,12
010604,010604,1319
010604,010605,3
010604,010606,5
010604,010607,5
010604,010608,1
010604,010609,11
010604,010610,1
010604,010611,1
010604,130101,1
010605,010101,2
010605,010109,23
010605,010201,1
010605,010312,10
010605,010601,5
010605,010602,2
010605,010603,1
010605,010604,2
010605,010605,1444
010605,010607,2
010605,010608,2
010605,010610,1
010605,150101,1
010606,010101,9
010606,010109,1
010606,010112,1
010606,010120,2
010606,010601,59
010606,010602,1
010606,010603,32
010606,010604,2
010606,010606,837
010606,010607,8
010606,010609,2
010606,060101,1
010606,130101,1
010607,010101,13
010607,010110,1
010607,010114,8
010607,010401,1
010607,010509,1
010607,010514,2
010607,010521,1
010607,010601,132
010607,010602,1
010607,010603,1
010607,010604,1
010607,010606,20
010607,010607,719
010607,010608,1
010607,010609,9
010607,010611,1
010607,020702,1
010607,130101,1
010608,010601,2
010608,010602,3
010608,010605,3
010608,010608,285
010608,010610,1
010609,010101,11
010609,010201,1
010609,010601,29
010609,010602,6
010609,010605,1
010609,010608,1
010609,010609,5627
010609,010610,1
010609,010701,2
010609,060101,1
010609,060301,1
010609,060603,1
010609,060613,1
010609,060801,3
010609,130101,2
010609,130105,1
010609,140101,1
010609,150117,1
010609,160701,1
010609,220105,6
010609,220910,2
010610,010101,3
010610,010601,35
010610,010610,237
010610,010611,2
010610,010701,1
010611,010601,1
010611,010602,1
010611,010605,21
010611,010607,2
010611,010608,3
010611,010610,1
010611,010611,124
010611,061306,1
010611,130111,1
010612,010101,1
010612,010609,1
010612,010612,1841
010612,061203,1
010612,130101,1
010612,220101,7
010612,220105,26
