ubigeo_ori,ubigeo_des,cases,dept_ori,prov_ori,distr_ori,dept_des,prov_des,distr_des
150501,150112,47,LIMA,CANETE,SAN VICENTE DE CANETE,LIMA,LIMA,INDEPENDENCIA
150501,150113,28,LIMA,CANETE,SAN VICENTE DE CANETE,LIMA,LIMA,JESUS MARIA
150501,150114,22,LIMA,CANETE,SAN VICENTE DE CANETE,LIMA,LIMA,LA MOLINA
150501,150115,69,LIMA,CANETE,SAN VICENTE DE CANETE,LIMA,LIMA,LA VICTORIA
150501,150116,44,LIMA,CANETE,SAN VICENTE DE CANETE,LIMA,LIMA,LINCE
150501,150117,113,LIMA,CANETE,SAN VICENTE DE CANETE,LIMA,LIMA,LOS OLIVOS
150501,150118,32,LIMA,CANETE,SAN VICENTE DE CANETE,LIMA,LIMA,LURIGANCHO
150501,150119,61,LIMA,CANETE,SAN VICENTE DE CANETE,LIMA,LIMA,LURIN
150501,150120,23,LIMA,CANETE,SAN VICENTE DE CANETE,LIMA,LIMA,MAGDALENA DEL MAR
150501,150121,30,LIMA,CANETE,SAN VICENTE DE CANETE,LIMA,LIMA,PUEBLO LIBRE
150501,150122,38,LIMA,CANETE,SAN VICENTE DE CANETE,LIMA,LIMA,MIRAFLORES
150501,150123,31,LIMA,CANETE,SAN VICENTE DE CANETE,LIMA,LIMA,PACHACAMAC
150501,150124,5,LIMA,CANETE,SAN VICENTE DE CANETE,LIMA,LIMA,PUCUSANA
150501,150125,53,LIMA,CANETE,SAN VICENTE DE CANETE,LIMA,LIMA,PUENTE PIEDRA
150501,150126,3,LIMA,CANETE,SAN VICENTE DE CANETE,LIMA,LIMA,PUNTA HERMOSA
150501,150128,18,LIMA,CANETE,SAN VICENTE DE CANETE,LIMA,LIMA,RIMAC
150501,150130,28,LIMA,CANETE,SAN VICENTE DE CANETE,LIMA,LIMA,SAN BORJA
150501,150131,12,LIMA,CANETE,SAN VICENTE DE CANETE,LIMA,LIMA,SAN ISIDRO
150501,150132,243,LIMA,CANETE,SAN VICENTE DE CANETE,LIMA,LIMA,SAN JUAN DE LURIGANCHO
150501,150133,232,LIMA,CANETE,SAN VICENTE DE CANETE,LIMA,LIMA,SAN JUAN DE MIRAFLORES
150501,150134,39,LIMA,CANETE,SAN VICENTE DE CANETE,LIMA,LIMA,SAN LUIS
150501,150135,103,LIMA,CANETE,SAN VICENTE DE CANETE,LIMA,LIMA,SAN MARTIN DE PORRES
150501,150136,39,LIMA,CANETE,SAN VICENTE DE CANETE,LIMA,LIMA,SAN MIGUEL
150501,150137,93,LIMA,CANETE,SAN VICENTE DE CANETE,LIMA,LIMA,SANTA ANITA
150501,150139,7,LIMA,CANETE,SAN VICENTE DE CANETE,LIMA,LIMA,SANTA ROSA
150501,150140,138,LIMA,CANETE,SAN VICENTE DE CANETE,LIMA,LIMA,SANTIAGO DE SURCO
150501,150141,44,LIMA,CANETE,SAN VICENTE DE CANETE,LIMA,LIMA,SURQUILLO
150501,150142,236,LIMA,CANETE,SAN VICENTE DE CANETE,LIMA,LIMA,VILLA EL SALVADOR
150501,150143,210,LIMA,CANETE,SAN VICENTE DE CANETE,LIMA,LIMA,VILLA MARIA DEL TRIUNFO
150501,150201,3,LIMA,CANETE,SAN VICENTE DE CANETE,LIMA,BARRANCA,BARRANCA
150501,150202,3,LIMA,CANETE,SAN VICENTE DE CANETE,LIMA,BARRANCA,PARAMONGA
150501,150203,1,LIMA,CANETE,SAN VICENTE DE CANETE,LIMA,BARRANCA,PATIVILCA
150501,150204,2,LIMA,CANETE,SAN VICENTE DE CANETE,LIMA,BARRANCA,SUPE
150501,150501,43326,LIMA,CANETE,SAN VICENTE DE CANETE,LIMA,CANETE,SAN VICENTE DE CANETE
150501,150502,15,LIMA,CANETE,SAN VICENTE DE CANETE,LIMA,CANETE,ASIA
150501,150503,4,LIMA,CANETE,SAN VICENTE DE CANETE,LIMA,CANETE,CALANGO
150501,150504,71,LIMA,CANETE,SAN VICENTE DE CANETE,LIMA,CANETE,CERRO AZUL
150501,150505,28,LIMA,CANETE,SAN VICENTE DE CANETE,LIMA,CANETE,CHILCA
150501,150506,3,LIMA,CANETE,SAN VICENTE DE CANETE,LIMA,CANETE,COAYLLO
150501,150507,678,LIMA,CANETE,SAN VICENTE DE CANETE,LIMA,CANETE,IMPERIAL
150501,150508,25,LIMA,CANETE,SAN VICENTE DE CANETE,LIMA,CANETE,LUNAHUANA
150501,150509,41,LIMA,CANETE,SAN VICENTE DE CANETE,LIMA,CANETE,MALA
150501,150510,178,LIMA,CANETE,SAN VICENTE DE CANETE,LIMA,CANETE,NUEVO IMPERIAL
150501,150511,18,LIMA,CANETE,SAN VICENTE DE CANETE,LIMA,CANETE,PACARAN
150501,150512,97,LIMA,CANETE,SAN VICENTE DE CANETE,LIMA,CANETE,QUILMANA
150501,150513,5,LIMA,CANETE,SAN VICENTE DE CANETE,LIMA,CANETE,SAN ANTONIO
