ubigeo,ntl
150505,2.6532725
150506,0.4561892
150507,7.3896353
150508,0.4419141
150509,5.614001
150510,1.2277673
150511,0.3391635
150512,0.8655776
150513,5.0243805
150514,4.0962926
150515,1.7026464
150516,0.5183072
150601,1.987936
150602,0.4350336
150603,0.3971609
150604,1.1257468
150605,4.3981642
150606,0.3945348
150607,0.3907244
150608,0.4032711
150609,0.7083652
150610,0.6479358
150611,0.4038259
150612,0.3614155
150701,0.6245056
150702,0.4954268
150703,0.8746584
150704,0.5121958
150705,1.0592701
150706,0.3776356
150707,0.4451092
150708,0.5566474
150709,0.294921
150710,0.3189615
150711,0.3314832
150712,0.3130084
150713,0.2824154
150714,2.8054832
150715,0.3371776
150716,0.933419
150717,0.8929423
150718,0.2649791
150719,0.2595698
150720,0.2570512
150721,0.2519065
150722,0.4582697
150723,0.4547598
150724,0.5221098
150725,0.2646988
150726,0.2620793
150727,2.820035
150728,1.2818793
150729,0.2490618
150730,0.5817212
150731,0.3640848
150732,0.7397556
150801,1.2640839
150802,0.3364959
150803,17.4845413
150804,0.3694156
150805,27.4763
150806,1.0150185
150807,0.3206233
150808,0.3637057
150809,0.3212752
150810,3.2366534
150811,0.6275374
150812,2.3890896
150901,0.6335354
150902,0.4392893
150903,0.3504256
150904,0.32807
150905,0.3840939
150906,0.4647509
151001,0.3403794
151002,0.5676999
151003,0.3247667
151004,0.348996
151005,0.3314289
151006,0.309561
151007,0.3204971
151008,0.4332745
151009,0.33889590000000003
151010,0.2446824
151011,0.3177294
151012,0.2938239
151013,0.3016841
151014,0.3049664
151015,0.3824996
151016,0.3808228
151017,0.2876577
151018,0.3264985
151019,0.2909555
151020,0.3285693
151021,0.3070442
151022,0.3591584
151023,0.3536462
151024,0.2926797
151025,0.3433078
151026,0.2789295
151027,0.3766832
151028,0.2967137
151029,0.2918109
151030,0.3259589
151031,0.3212468
151032,0.3274477
151033,0.3118318
160101,2.1925042
160102,0.3528454
160103,0.3263766
160104,0.3270793
160105,0.3181566
160106,0.3280835
160107,0.3515214
160108,0.6941132
160110,0.3287588
160112,0.8711647
160113,0.544988
160201,0.5016819
160202,0.3253301
160205,0.3537576
160206,0.365879
160210,0.3425861
160211,0.3420908
160301,0.3848415
160302,0.3520159
160303,0.3819097
160304,0.39828209999999997
160305,0.3845305
160401,0.3280558
160402,0.3208412
160403,0.3516527
160404,0.3203185
160501,0.3570067
160502,0.3396573
160503,0.356821
160504,0.3352856
160505,0.3466925
160506,0.3681439
160507,0.3808011
160508,0.3659175
160509,0.3464116
160510,0.3280561
160511,0.4188431
160601,0.3317178
160602,0.2934787
160603,0.3378074
160604,0.3303975
160605,0.3207528
160606,0.3206675
160701,0.3595489
160702,0.3321003
160703,0.3851574
160704,0.3582251
160705,0.3431365
160706,0.3543917
160801,0.340506
160802,0.3378996
160803,0.3105193
160804,0.3263005
170101,0.3656626
170102,0.3168942
170103,0.2886065
170104,0.2880964
170201,0.2824235
170202,0.2669003
170203,0.2766209
170204,0.3810947
170301,0.2598377
170302,0.311672
170303,0.2797614
180101,0.7819998
180102,0.3657142
180103,0.3459314
180104,1.8866507
180105,0.2541091
180106,1.5243369
180201,0.3803888
180202,0.2410823
180203,0.344977
180204,0.2881591
180205,0.2945199
180206,0.2551294
180207,0.2482939
180208,0.2997178
180209,0.2670163
180210,0.2747369
180211,0.2620035
180301,3.1608756
180302,0.390146
180303,1.6295577
190101,10.3949673
190102,0.3779245
190103,0.5505064
190104,0.6848575
190105,0.363023
190106,0.6256315
190107,0.4354214
190108,1.3224931
190109,0.9073059
190110,0.3859352
190111,2.8849633
190112,1.0684224
190113,2.4293905
190201,0.4469385
190202,0.4550857
190203,0.6461746
190204,0.4611248
190205,0.3904126
190206,0.4422315
190207,0.6323625
190208,0.4496025
190301,0.8273479
190302,0.5550864
190303,0.4004693
190304,0.3922419
190305,0.4095378
190306,0.3375374
