ubigeo,urban_area
200108,0
200109,39.5643419
200110,76.8727945
200111,39.6010269
200114,304.0924988
200115,146.2285266
200201,0
200202,0
200203,0
200204,0
200205,0
200206,0
200207,0
200208,0
200209,0
200210,0
200301,0
200302,0
200303,0
200304,0
200305,0
200306,0
200307,0
200308,0
200401,131.7780468
200402,0
200403,0
200404,27.3515892
200405,29.6802144
200406,29.6715494
200407,69.2399944
200408,0
200409,0
200410,0
200501,136.0446044
200502,5.744632
200503,17.6996769
200504,46.4997797
200505,125.0969668
200506,2.4065036
200507,2.9499847
200601,399.1379781
200602,17.7773507
200603,118.7807112
200604,0
200605,89.3931032
200606,14.0895833
200607,72.6719109
200608,56.9433244
200701,168.0647897
200702,39.62503
200703,9.9011263
200704,0
200705,28.9838666
200706,48.3756185
200801,69.2135612
200802,41.2263636
200803,24.6262981
200804,0
200805,2.4432574
200806,1.3961471
210101,237.8152425
210102,9.5590806
210103,0
210104,0
210105,0
210106,9.5628369
210107,0
210108,0
210109,9.5669894
210110,0
210111,9.550665
210112,0
210113,0
210114,9.5674038
210115,9.5686437
210201,28.8213369
210202,0
210203,15.9571002
210204,0
210205,0
210206,19.1971713
210207,0
210208,0
210209,5.3249804
210210,9.5902169
210211,0
210212,0
210213,0
210214,0
210215,0
210301,19.2855706
210302,0
210303,0
210304,0
210305,0
210306,10.8391668
210307,0
210308,0
210309,0
210310,0
210401,28.6435175
210402,35.5073926
210403,16.1331096
210404,0
210405,6.1987919
210406,19.089865
210407,0
210501,66.8791356
210502,0
210503,0
210504,19.0436044
210505,0
210601,28.7834413
210602,9.6025344
210603,0
210604,0
210605,28.7505094
210606,0
210607,9.5902169
210608,0
210701,0
210702,0
210703,0
210704,0
210705,0
210706,0
210707,0
210708,0
210709,0
210710,0
210801,67.2577306
210802,0
210803,0
210804,0
210805,9.6130813
210806,19.251105
210807,0
210808,9.6200187
210809,0
210901,19.174005
210902,0
210903,19.177625
210904,0
211001,0
211002,0
211003,0
211004,0
211005,0
211101,298.6408852
211102,9.5744056
211103,0
211104,0
211105,52.3826898
211201,0
211202,0
211203,0
211204,0
211205,0
211206,0
211207,0
211208,0
211209,9.6418619
211210,0
211301,46.8327757
211302,0
211303,0
211304,0
211305,0
211306,0
211307,0
220101,106.1680822
220102,19.7588756
220103,0
220104,9.8772637
220105,59.2655312
220106,9.8804694
220201,88.7399844
220202,29.5660188
220203,0
220204,10.0516467
220205,19.7295188
220206,29.5809337
220301,0
220302,9.8663687
220303,0
220304,9.8674312
220305,9.8703956
220401,50.1245745
220402,0
220403,0
220404,28.6956181
220405,19.7186969
220406,19.7181363
220501,29.6171712
220502,0
220503,0
220504,0
220505,9.87074
220506,0
220507,4.0647749
220508,0
220509,1.3937093
220510,11.2666637
220511,0
220601,81.6416355
220602,19.70199
220603,0
220604,0
220605,17.1242618
220701,9.8625831
220702,14.7013162
220703,9.8616663
220704,24.7215457
220705,9.8642181
220706,0
220707,0
220708,0
220709,29.58371
220710,0
220801,88.9123044
220802,4.4184053
220803,29.6407756
220804,67.5451232
220805,22.289329
220806,0
220807,9.8817256
220808,9.8775887
220809,11.5863383
220901,131.6133949
220902,7.1976776
220903,16.8784436
220904,14.4366085
220905,0
220906,9.8761194
220907,19.7462462
220908,24.1885445
220909,46.0255195
220910,32.6716451
220911,0
220912,0
220913,9.867255
220914,10.8756626
221001,38.8373082
221002,17.2972846
221003,0.4628491
221004,0
221005,75.7390338
230101,465.7440668
230102,53.380825
230103,30.8659069
230104,27.7868286
230105,0
230106,0
230107,9.4698581
230108,128.4957793
230109,198.3614775
230110,105.8029901
230111,174.1838796
230201,18.99287
230202,0
230203,0
230204,0
230205,0
230206,0
230301,0
230302,37.94578
230303,21.3426255
230401,28.4588775
230402,0
230403,0
230404,0
230405,0
230406,9.4932681
230407,0
230408,0
240101,170.0219292
240102,56.5673347
240103,21.8098024
240104,29.6994625
240105,32.0728229
240106,35.1839655
240201,23.1306505
240202,0
240203,1.1656828
240301,67.1499609
240302,98.0630629
240303,0
240304,9.9142869
250101,196.4402317
250102,39.3088338
250103,0
250104,0
250105,229.1027848
250106,19.6671775
250107,192.3805575
250201,53.605587
250202,29.2519594
250203,29.3601456
250204,0
250301,88.3228888
250302,9.8185331
250303,29.48542
250304,0
250305,19.6372994
250401,19.5853312
